id,name,kind,region,priority,priority_score,lat,lon,osm_type,osm_id,osm_url
osm-relation-8248089,Betriebs-Angelsportverein Maria-Hauptschacht 1960 e.V.,Angel-/Fishing-POI,Aachen/Eifel,B,74,50.853471,6.180883,relation,8248089,https://www.openstreetmap.org/relation/8248089
osm-relation-8241684,Sportfischereiverein Alsdorf e.V.,Angel-/Fishing-POI,Aachen/Eifel,B,74,50.863571,6.147079,relation,8241684,https://www.openstreetmap.org/relation/8241684
osm-way-301984104,Blausteinsee,Gewässer: lake,Aachen/Eifel,B,72,50.85398,6.274631,way,301984104,https://www.openstreetmap.org/way/301984104
osm-way-17440028,Dürener Badesee,Gewässer: reservoir,Aachen/Eifel,B,72,50.803897,6.438822,way,17440028,https://www.openstreetmap.org/way/17440028
osm-way-24771758,Wehebachtalsperre,Gewässer: reservoir,Aachen/Eifel,B,72,50.744933,6.344761,way,24771758,https://www.openstreetmap.org/way/24771758
osm-node-7992750708,ASV Eschweiler,Angel-/Fishing-POI,Aachen/Eifel,B,70,50.811138,6.20716,node,7992750708,https://www.openstreetmap.org/node/7992750708
osm-way-15089900,Dreilägerbachtalsperre,Gewässer: reservoir,Aachen/Eifel,B,68,50.660488,6.218112,way,15089900,https://www.openstreetmap.org/way/15089900
osm-way-25870531,Kalltalsperre,Gewässer: reservoir,Aachen/Eifel,B,68,50.641868,6.305533,way,25870531,https://www.openstreetmap.org/way/25870531
osm-relation-14285500,Kronenburger See,Gewässer: reservoir,Aachen/Eifel,B,68,50.360997,6.461341,relation,14285500,https://www.openstreetmap.org/relation/14285500
osm-way-13689467,Naturschutzsee Füssenich,Gewässer: lake,Aachen/Eifel,B,68,50.697262,6.6243,way,13689467,https://www.openstreetmap.org/way/13689467
osm-relation-2053801,Obersee,Gewässer: reservoir,Aachen/Eifel,B,68,50.593829,6.395431,relation,2053801,https://www.openstreetmap.org/relation/2053801
osm-way-28575892,Perlenbachtalsperre,Gewässer: reservoir,Aachen/Eifel,B,68,50.534557,6.243796,way,28575892,https://www.openstreetmap.org/way/28575892
osm-way-18749096,Stauanlage Diepenbenden,Gewässer: reservoir,Aachen/Eifel,B,68,50.743353,6.080801,way,18749096,https://www.openstreetmap.org/way/18749096
osm-way-15099362,Staubecken Heimbach,Gewässer: reservoir,Aachen/Eifel,B,68,50.629066,6.466072,way,15099362,https://www.openstreetmap.org/way/15099362
osm-way-15049514,Stausee Obermaubach,Gewässer: reservoir,Aachen/Eifel,B,68,50.708106,6.441662,way,15049514,https://www.openstreetmap.org/way/15049514
osm-relation-2053802,Urftsee,Gewässer: reservoir,Aachen/Eifel,B,68,50.595732,6.439072,relation,2053802,https://www.openstreetmap.org/relation/2053802
osm-way-119517286,Oleftalsperre,Gewässer: reservoir,Aachen/Eifel,B,62,50.497843,6.397306,way,119517286,https://www.openstreetmap.org/way/119517286
osm-relation-65512,Rursee,Gewässer: reservoir,Aachen/Eifel,B,62,50.628451,6.409408,relation,65512,https://www.openstreetmap.org/relation/65512
osm-node-7682752871,ASB Tackle,Fishing-Shop/POI (kein Gewässer),Aachen/Eifel,B,61,50.911006,6.180842,node,7682752871,https://www.openstreetmap.org/node/7682752871
osm-node-13606527689,Bienenmadenmann,Fishing-Shop/POI (kein Gewässer),Aachen/Eifel,B,61,50.825709,6.416796,node,13606527689,https://www.openstreetmap.org/node/13606527689
osm-node-6898626585,DK Angelsport,Fishing-Shop/POI (kein Gewässer),Aachen/Eifel,B,61,50.756006,6.139262,node,6898626585,https://www.openstreetmap.org/node/6898626585
osm-relation-9594006,Regenrückhaltebecken Grachtstraße,Gewässer: reservoir,Aachen/Eifel,B,60,50.745458,6.179281,relation,9594006,https://www.openstreetmap.org/relation/9594006
osm-way-314624353,Binsensee,Gewässer: lake,Aachen/Eifel,B,56,50.946857,6.01764,way,314624353,https://www.openstreetmap.org/way/314624353
osm-way-29239411,Heidesee,Gewässer: lake,Aachen/Eifel,B,56,50.943317,6.023885,way,29239411,https://www.openstreetmap.org/way/29239411
osm-way-15014240,Kleiner Weiher,Gewässer: lake,Aachen/Eifel,B,56,50.867589,6.100558,way,15014240,https://www.openstreetmap.org/way/15014240
osm-way-96705341,Kläranlage,Gewässer: reservoir,Aachen/Eifel,B,56,50.656097,6.204182,way,96705341,https://www.openstreetmap.org/way/96705341
osm-way-96705339,Kläranlage,Gewässer: reservoir,Aachen/Eifel,B,56,50.656281,6.20497,way,96705339,https://www.openstreetmap.org/way/96705339
osm-way-192609259,Klärbecken,Gewässer: reservoir,Aachen/Eifel,B,56,50.654525,6.200308,way,192609259,https://www.openstreetmap.org/way/192609259
osm-way-580764199,Löschteich,Gewässer: reservoir,Aachen/Eifel,B,56,50.512998,6.285677,way,580764199,https://www.openstreetmap.org/way/580764199
osm-way-36832131,Overbacher Weiher,Gewässer: reservoir,Aachen/Eifel,B,56,50.942459,6.306736,way,36832131,https://www.openstreetmap.org/way/36832131
osm-way-442999844,Regenrückhaltebecken,Gewässer: reservoir,Aachen/Eifel,B,56,50.884931,6.27513,way,442999844,https://www.openstreetmap.org/way/442999844
osm-way-469668103,Rückhaltebecken,Gewässer: reservoir,Aachen/Eifel,B,56,50.854563,6.556605,way,469668103,https://www.openstreetmap.org/way/469668103
